Archives Name	Function	Ext List	Program Name	Unpack com 1	Unpack com 2	Pack com	Archive move	Archive ext	ff	Столбец1
LZMA	_7Zip	LZMA Archives (*.lzma; *.lzm)|								
LZMA2	_7Zip	LZMA2 Archives (*.lzma; *.lzm; *.lzma2; *.lzm2)|								
MBR	_7Zip	Master Boot Record File (*.mbr)|								
PHAR	_7Zip	PHARArchives (*.phar; *.phr)|								
PPMD	_7Zip	PPMD Archives (*.ppmd; *.pmd)|								
RAR	_7Zip	RAR Archives (*.rar)|								
RPM	_7Zip	RPM Archives (*.rpm; *.rpm.cpio)|								
TAR	_7Zip	TAR Archives (*.tar; *.tbz; *.cbt)|								
TAZ	_7Zip	TAZ Archives (*.taz)|								
TZ	_7Zip	TARZIP Archives (*.taz; *.tz; *.tbz; *.tbz2; *.tgz ;*.tar.*z*; *.t*z)|								
UUE	_7Zip	UUE Archives (*.uue)|								
XXE	_7Zip	XXE Archives (*.xxe)|								
XPI	_7Zip	XPI Plugins (*.xpi; *.zip)|								
XZ	_7Zip	XZ Archives (*.xz; *.xzip; *.txz)|								
Z	_7Zip	Z Archives (*.z)|								
Zstandart	_7Zip	Zstandart Archives (*.zstd; *.7z; *.deb; *.nsz; *.xcz)|								
ZIP	_7Zip	ZIP Archives (*.zip; *.bin; *.bsp; *.bza; *.cbz; *.dat; *.dazip; *.docx; *.dotx; *.epub; *.fods; *.fodt; *.fomod; *.gro; *.jar; *.kfs; *.lp; *.nob; *.odb; *.ods; *.odt; *.omod; *.ots; *.ott; *.pak; *.piz; *.pk3; *.pk4; *.potm; *.ppsx; *.pptx; *.txtz; *.xlsm; *.xlsx; *.xpi; *.zipx)|'								
ZIPX	_7Zip	ZIPX Archives (*.zipx; *.zip)|								
ACE	_OtherPRG	ACE Archives (*.ace)|	unace.exe	 x	 	not	true	 		
FreeARC	_OtherPRG	FreeARC Archives (*.arc;*.exe;*.bin*;*.dat*;*cat*;setup*.*)|	unarc.exe	 x -dp"FolderName"	 	not	false	 		
YZ1	_OtherPRG	YZ1 Archives (*.yz; *.yz1)|	yzdec.exe	 -d	 	not	true	 		
ZOO	_OtherPRG	ZOO Archives (*.zoo)|	unzoo.exe	 -x	 	not	true	 		
ALZ	_QickBMS	ALZ Archves (*.alz)|	\data\wcx\UnArkWCX.wcx							
ARK	_QickBMS	ARK Archives (*.ark)|	\data\wcx\UnArkWCX.wcx							
BlackHole	_QickBMS	BlackHole Archives (*.bh)|	\data\wcx\UnArkWCX.wcx							
BZIP2	_QickBMS	BZIP2 Archives (*.bzip2; *.bz2; *.tbz2)|	\data\wcx\UnArkWCX.wcx							
DZ	_QickBMS	DZ Archives (*.dz; *.dzip)|	\data\scripts\vector.bms							
EGG	_QickBMS	EGG Archives (*.egg)|	\data\wcx\UnArkWCX.wcx							
FPRG	_QickBMS	FPRG Archives (*.fprg)|	\data\scripts\fprg.bms							
FZIP	_QickBMS	FZIP Archives (*.fzip)|	\data\scripts\fzip_zlib.bms							
GCA	_QickBMS	GCA Archives (*.gca; *.dat)|	\data\wcx\gca.wcx							
HA	_QickBMS	HA Archives (*.ha)|	\data\wcx\HA.wcx							
HRUST	_QickBMS	Hrust Archives (*.hrp; *.hrip)|	\data\wcx\inhrust.wcx							
LZHAM	_QickBMS	LZHAM Archives (*.lzh; *.lza; *.lzm)|	\data\scripts\lzhamtest.bms							
LZO	_QickBMS	LZO Archives (*.lzo)|	\data\wcx\lzopacktc.wcx							
LZO PKG	_QickBMS	LZO PKG Archives (*.lzo; *.pkg)|	\data\scripts\pkg_lzo.bms							
LZO PVR	_QickBMS	LZO PVR Archives (*.lzo; *.pvr)|	\data\scripts\pvrlzo.bms							
LZSS	_QickBMS	LZSS Archives (*.lzss)|	\data\scripts\pure_lzss_script_only.bms							
LZX	_QickBMS	LZX Archives (*.lzx)|	\data\wcx\unlzx.wcx							
MHTML Web	_QickBMS	Web Archives (*.mht; *.mhtml. *.mime)	\data\wcx\TotalObserver.wcx							
SIS	_QickBMS	SIS Archives (*.sis)|	\data\wcx\PDunSIS.wcx							
SQX	_QickBMS	SQX Archives (*.sqx)|	\data\scripts\sqx.bms							
XXZ	_QickBMS	XXZ Archives (*.xxz)|	\data\scripts\xxz.bms							
GOG game.gog	_7Zip	GOG game image(game.gog)|								3
