game_name	relise_year	func_name
The Last Birdling	2017	_RenPy
Mizuchi 白蛇心傳	2020	_RenPy
Kidnapped Girl	2020	_RenPy
六阶谜题	2020	_RenPy
Cooking Companions: Appetizer Edition	2020	_RenPy
Memory note	2020	_RenPy
Blankspace	2020	_RenPy
Sepia Tears	2016	_RenPy
Perceptions of the Dead 2	2018	_RenPy
One Night Stand	2016	_RenPy
圣歌德嘉的晚钟	2020	_RenPy
Sakura Fantasy Chapter 1	2015	_RenPy
Fare Thee Well	2018	_RenPy
Evening Surprise	2017	_RenPy
Sakura Succubus 4	2021	_RenPy
Ravager	2021	_RenPy
Wet steps	2020	_RenPy
SoulSet	2017	_RenPy
Dab on Darkness!	2020	_RenPy
Fei Duanmu VS Kobayashi 端木斐 VS 小林正雪	2018	_RenPy
Occult Crime Police	2021	_RenPy
Army Gals	2017	_RenPy
Sentimental Trickster: Yaoi BL Gay Visual Novel	2021	_RenPy
Without Within 3	2018	_RenPy
Lust Theory	2021	_RenPy
The Jewel of Monostructure	2021	_RenPy
College Bound	2021	_RenPy
Absolute Alchemical Potion	2020	_RenPy
CUPID - A free to play Visual Novel	2016	_RenPy
Zeliria Sanctuary	2019	_RenPy
XOXO Blood Droplets	2019	_RenPy
Because We're Here ~Mohnblume und Blauerose~	2018	_RenPy
Seduce Me the Otome	2015	_RenPy
Sakura Swim Club	2015	_RenPy
Her Lie I Tried To Believe - Extended Edition	2020	_RenPy
Strawberry Vinegar	2016	_RenPy
Beyond Eden	2017	_RenPy
The Sekimeiya: Spun Glass	2021	_RenPy
Sakura Cupid	2018	_RenPy
CODE CRACKER 代码破译者	2019	_RenPy
Fujiwara Bittersweet	2021	_RenPy
Welcome to Free Will	2021	_RenPy
Salting the Earth	2019	_RenPy
Sakura Succubus 2	2020	_RenPy
A Winter's Daydream	2018	_RenPy
The Waters Above: Prelude	2018	_RenPy
Void's Calling ep. 1	2020	_RenPy
Oppaidius Tropical Cruise!	2020	_RenPy
Dandelion - Wishes brought to you -	2014	_RenPy
Singing Iris	2021	_RenPy
Synergia	2020	_RenPy
Dandelions in the Sky	2020	_RenPy
Find someone else	2018	_RenPy
距离男主自杀还剩七天	2021	_RenPy
Dissolving	2019	_RenPy
Jack-In-A-Castle	2019	_RenPy
SHINRAI - Broken Beyond Despair	2016	_RenPy
Don't Forget Our Esports Dream	2018	_RenPy
Blind Love	2016	_RenPy
Crimson Gray: Dusk and Dawn	2018	_RenPy
Happy New Year, Zeliria!	2020	_RenPy
Monster Hunting... For Love!	2019	_RenPy
Connected Hearts - Visual novel	2017	_RenPy
East 73: Magenta Fairytale	2017	_RenPy
Sound of Drop - fall into poison -	2015	_RenPy
Backstage Pass	2016	_RenPy
Nusantara: Legend of The Winged Ones	2018	_RenPy
Ruler by Default	2018	_RenPy
Gloom and Doom	2021	_RenPy
Date Warp	2014	_RenPy
Kiara And My Ara Ara Adventure	2020	_RenPy
Unhack 2	2017	_RenPy
Mutiny!!	2017	_RenPy
Sickness	2016	_RenPy
The Confines Of The Crown	2015	_RenPy
Rituals in the Dark	2019	_RenPy
The Spell	2019	_RenPy
Sakura Nova	2016	_RenPy
Escape to Moscow	2020	_RenPy
How Stories Die	2020	_RenPy
S.H.E.L.T.E.R. - An Apocalyptic Tale	2021	_RenPy
Oppaidius Desert Island!	2021	_RenPy
Oppaidius Summer Trouble!	2018	_RenPy
Aeon on Mosaic: Anemone 时间碎片：奇迹	2020	_RenPy
Sakura Santa	2015	_RenPy
Cat President ~A More Purrfect Union~	2016	_RenPy
Enamored Risks	2020	_RenPy
Second Chance	2018	_RenPy
Forgotten, Not Lost - A Kinetic Novel	2016	_RenPy
Blooming Nightshade	2019	_RenPy
The Heiress of Sorcery	2020	_RenPy
Sakura Angels	2015	_RenPy
Bad Memories	2021	_RenPy
Endless Bounty	2020	_RenPy
Lily of the Valley	2017	_RenPy
Escape from the Princess	2018	_RenPy
SpaceNET	2021	_RenPy
Fallstreak: Requiem for my Homeland	2020	_RenPy
Seiga Kaku uses her amazing Taoist arts and gives you a life lesson	2020	_RenPy
Without Within 2	2015	_RenPy
Tomai	2020	_RenPy
Summer Meetings	2019	_RenPy
Winter's Empty Mask - Visual novel	2019	_RenPy
Sunrider Academy	2015	_RenPy
Viktor Crysworth	2020	_RenPy
The Sych story	2021	_RenPy
*NEW* SCUFFED EPIC VISUAL NOVEL	2021	_RenPy
Heirs And Graces	2016	_RenPy
Sakura Fox Adventure	2019	_RenPy
Hate Plus	2013	_RenPy
Sakura MMO 2	2019	_RenPy
Tomboys Need Love Too!	2017	_RenPy
The Flower on Christmas Eve	2019	_RenPy
WORLD END ECONOMiCA episode.01	2014	_RenPy
NEKOKORO	2018	_RenPy
Dead Wishes	2019	_RenPy
Superstorm Melon Date	2021	_RenPy
10mg: SLASHER, Interrupted	2020	_RenPy
LOVE BAKUDAN	2021	_RenPy
Wicked Willow	2020	_RenPy
Sakura Succubus 3	2020	_RenPy
Chess of Blades	2018	_RenPy
The Sin	2021	_RenPy
Sakura MMO	2018	_RenPy
Disturbed: Beyond Aramor	2018	_RenPy
A NIGHTMARE'S TRIP	2019	_RenPy
Chemically Bonded	2019	_RenPy
MYTH	2016	_RenPy
Ascension	2021	_RenPy
Animal Lover	2017	_RenPy
Dr. Frank's Build a Boyfriend	2018	_RenPy
Dimension of Monster Girls	2018	_RenPy
My Life as a Maiden	2018	_RenPy
Caffeine: Victoria's Legacy	2020	_RenPy
Twilight Town: A Cyberpunk Day In Life	2021	_RenPy
Attack Helicopter Dating Simulator	2018	_RenPy
Once on a windswept night	2017	_RenPy
Heart Fragment	2021	_RenPy
Memento of Spring	2018	_RenPy
Why Is There A Girl In My House?!	2019	_RenPy
Wander No More	2017	_RenPy
this was for you.	2019	_RenPy
XorceD - Sashiro's Laedrum	2016	_RenPy
I Want to Fly	2020	_RenPy
Courage for a Kiss	2019	_RenPy
Over The Hills And Far Away	2015	_RenPy
Sunrider: Liberation Day - Captain's Edition	2016	_RenPy
Cute Bite	2021	_RenPy
Paradise Lofts	2020	_RenPy
Alpha Hole Prison	2021	_RenPy
Class of '09	2021	_RenPy
Dizzy Hearts	2019	_RenPy
King of the Cul-De-Sac	2020	_RenPy
Sakura Gamer	2017	_RenPy
Robot Daycare	2021	_RenPy
Pale Cachexia	2021	_RenPy
Lunar's Chosen	2021	_RenPy
Love in the Limelight	2019	_RenPy
Sakura Sadist	2018	_RenPy
Mister Versatile: A Gay Superhero Visual Novel	2020	_RenPy
Space Rescue: Code Pink	2021	_RenPy
Requiescence	2016	_RenPy
Winning Love by Daylight	2021	_RenPy
The Ghost of You	2018	_RenPy
The Mermaid of Zennor	2021	_RenPy
A Summer with the Shiba Inu	2019	_RenPy
Panzer Hearts - War Visual Novel	2018	_RenPy
C14 Dating	2016	_RenPy
Sylphine	2021	_RenPy
Lovingly Evil	2020	_RenPy
Dead Man's Rest	2021	_RenPy
Blake: The Visual Novel	2021	_RenPy
The Book of Bondmaids	2021	_RenPy
How To Date A Magical Girl!	2019	_RenPy
Voronica Cleans House: a Vore Adventure	2021	_RenPy
Lighter	2019	_RenPy
Life with Mary	2020	_RenPy
To Trust an Incubus	2018	_RenPy
Cursed Sight	2015	_RenPy
Jake's Love Story	2017	_RenPy
Artificial Mansion	2019	_RenPy
The Reject Demon: Toko Chapter 0 - Prelude	2015	_RenPy
Typical	2018	_RenPy
Sweet fantasy	2017	_RenPy
Garden of Oblivion	2018	_RenPy
Love Season	2021	_RenPy
Regeria Hope Episode 1	2016	_RenPy
Amatarasu Riddle Star	2019	_RenPy
Four Rendezvous	2020	_RenPy
Humanity Must Perish	2017	_RenPy
Max's Big Bust 2 - Max's Bigger Bust	2021	_RenPy
My Creampie Heaven	2020	_RenPy
Vengeful Heart	2020	_RenPy
To Be With You	2021	_RenPy
Revenant March	2020	_RenPy
Carpe Diem: Reboot	2017	_RenPy
Seeds of Chaos	2020	_RenPy
Sakura Forest Girls	2021	_RenPy
Tell a Demon	2017	_RenPy
The Mind's Eclipse	2018	_RenPy
Jendo	2020	_RenPy
A Town Uncovered	2020	_RenPy
Her Lie I Tried To Believe	2018	_RenPy
My New Memories	2021	_RenPy
Planet Stronghold 2	2020	_RenPy
Run, Kitty! - A Furry Visual Novel	2021	_RenPy
A Field of Flowers and Stars	2021	_RenPy
Maid Mansion	2020	_RenPy
Earthshine	2019	_RenPy
Winds of Change - The Opening Act	2019	_RenPy
Blood and Lust	2019	_RenPy
My Burning Heart	2019	_RenPy
