game_name	relise_year	func_name
HIBIKAKEYIRONOKISEKI / 裂色的奇迹	2017	_RPGMaker
Fear & Hunger	2019	_RPGMaker
Causality	2021	_RPGMaker
Aveyond 4: Shadow of the Mist	2016	_RPGMaker
My Holiday 2	2020	_RPGMaker
Bonds	2018	_RPGMaker
Claire's Quest	2021	_RPGMaker
Camp Sunshine	2016	_RPGMaker
Last Devil	2021	_RPGMaker
The Tale of a Common Man	2016	_RPGMaker
Fantasya Final Definitiva REMAKE	2017	_RPGMaker
That Time I Got Reincarnated as an Orc	2021	_RPGMaker
归路：见证	2021	_RPGMaker
Nina Aquila: Legal Eagle, Season One	2021	_RPGMaker
凯尔文 - Kelvin And The Chateau	2021	_RPGMaker
The King's Request: Physiology and Anatomy Revision Game	2018	_RPGMaker
逝去的回忆3外传：逝3滞销帮帮我们	2020	_RPGMaker
Sylphy and the Sleepless Island	2021	_RPGMaker
The Mirror Lied	2018	_RPGMaker
Space Pilgrim Episode I: Alpha Centauri	2015	_RPGMaker
ALILIA	2019	_RPGMaker
Skyborn	2014	_RPGMaker
Einlanzer	2017	_RPGMaker
封神外传	2021	_RPGMaker
Forever Home	2017	_RPGMaker
The Heiress	2017	_RPGMaker
My Hole is a Mouth of Dirt	2020	_RPGMaker
阿津	2019	_RPGMaker
Hazumi and the Pregnation	2020	_RPGMaker
Suits: A Business RPG	2016	_RPGMaker
TAKANARIA	2019	_RPGMaker
Kokurase	2016	_RPGMaker
Sentience: The Android's Tale	2017	_RPGMaker
The night of fire stealing/盗火之夜	2018	_RPGMaker
Kozue's Strange Journey	2020	_RPGMaker
Petals of the Star Curtain	2020	_RPGMaker
Soma Spirits: Rebalance	2017	_RPGMaker
Close Your Eyes	2015	_RPGMaker
Nepenthe	2018	_RPGMaker
Asyula 方舟之链	2017	_RPGMaker
The Deed: Dynasty	2016	_RPGMaker
The Endless Empty	2018	_RPGMaker
The Button Witch	2020	_RPGMaker
Soulscape	2019	_RPGMaker
Knight Bewitched	2018	_RPGMaker
Angels of Death Episode.Eddie	2020	_RPGMaker
YOU CAN'T FUCK ON AN EMPTY STOMACH	2019	_RPGMaker
Seance	2021	_RPGMaker
Yokai Mask	2018	_RPGMaker
At Home Alone II	2019	_RPGMaker
Fallen ~Makina and the City of Ruins~	2018	_RPGMaker
The Fruitless Flower 雾雨中的徒花	2018	_RPGMaker
Wolf of Stock Street	2021	_RPGMaker
Snow-Swept Quest	2021	_RPGMaker
Vampires Dawn 3	2021	_RPGMaker
Home and Dungeon	2020	_RPGMaker
Antagonist	2017	_RPGMaker
Space Pilgrim Academy: Reunion	2019	_RPGMaker
Wolf's Gang	2020	_RPGMaker
Space Pilgrim Episode IV: Sol	2016	_RPGMaker
The Dungeon of Lulu Farea	2019	_RPGMaker
Space Pilgrim Academy: Year 1	2017	_RPGMaker
A Bird Story	2014	_RPGMaker
Divided Reigns	2021	_RPGMaker
No one lives in heaven	2020	_RPGMaker
外兽祭·兽人们的冒险酒馆	2021	_RPGMaker
与芙兰朵露一起捉迷藏吧	2021	_RPGMaker
Space Pilgrim Academy: Year 3	2018	_RPGMaker
KiKiMiMi/ 听能力搜查官	2019	_RPGMaker
It Moves	2019	_RPGMaker
Hero and Daughter+	2016	_RPGMaker
HITOTSU NO MORI	2020	_RPGMaker
