game_name	release_year	func_name
Dread X Collection 3	2020	_Gamemaker
Suits: Absolute Power	2020	_Gamemaker
Sokpop S08: helionaut	2020	_Gamemaker
Catacomb Kids	2015	_Gamemaker
Rubber Ducky and the Rainbow Gun	2015	_Gamemaker
UBERMOSH:SANTICIDE	2018	_Gamemaker
Cavity Busters	2020	_Gamemaker
Shisensho Solitaire	2019	_Gamemaker
Tiny Bird Garden Deluxe	2018	_Gamemaker
Booth: A Dystopian Adventure	2020	_Gamemaker
Arietta of Spirits	2021	_Gamemaker
Life Tastes Like Cardboard	2019	_Gamemaker
Sokpop S07: Chatventures	2020	_Gamemaker
Stoneshard: Prologue	2018	_Gamemaker
Crashlands	2016	_Gamemaker
Golden Hornet	2017	_Gamemaker
Kharon's Crypt - Even Death May Die	2020	_Gamemaker
Bunny's Flowers	2021	_Gamemaker
Gachi Revenge	2020	_Gamemaker
Lost Potato	2020	_Gamemaker
Burger Joint	2020	_Gamemaker
AshenForest	2020	_Gamemaker
The Walking Vegetables	2017	_Gamemaker
10mg: You are such a Soft and Round Kitten.	2020	_Gamemaker
Poggers	2019	_Gamemaker
Garden Story	2021	_Gamemaker
The friends of Ringo Ishikawa	2018	_Gamemaker
Shopping Empire Tycoon	2021	_Gamemaker
NotTheNameWeWanted	2015	_Gamemaker
Reverse Crawl	2015	_Gamemaker
Stealth Bastard Deluxe	2012	_Gamemaker
TANKS	2018	_Gamemaker
Lofi Ping Pong	2019	_Gamemaker
Acid Nimbus	2018	_Gamemaker
Pitcher and the Whale	2020	_Gamemaker
Phucker in the Gulag	2019	_Gamemaker
Dap: Prologue	2021	_Gamemaker
Power of Ten - Demo	2020	_Gamemaker
SWARMRIDERS	2016	_Gamemaker
Juiced!	2020	_Gamemaker
TWWWR	2020	_Gamemaker
Sigma Impact	2021	_Gamemaker
50 years	2017	_Gamemaker
Awesomenauts	2012	_Gamemaker
TV Kid	2021	_Gamemaker
Zed Survival	2018	_Gamemaker
UBERMOSH:OMEGA	2019	_Gamemaker
Thy Sword	2017	_Gamemaker
Halloween Forever	2016	_Gamemaker
Police Stories	2019	_Gamemaker
Ultimate Racing 2D	2018	_Gamemaker
Castle Break	2019	_Gamemaker
Magnibox	2019	_Gamemaker
-SPROUT-	2020	_Gamemaker
The Wizard and The Slug	2020	_Gamemaker
Dininho Adventures: Definitive Edition	2021	_Gamemaker
SUPER FLAIL	2018	_Gamemaker
SnOut	2021	_Gamemaker
Dap	2021	_Gamemaker
ITTA	2020	_Gamemaker
Rolling Bird	2018	_Gamemaker
Ain Dodo	2019	_Gamemaker
Revita	2021	_Gamemaker
Make Me LAG	2020	_Gamemaker
The Tram of Wishes	2021	_Gamemaker
Sokpop S09: fishy 3D	2020	_Gamemaker
Serious Scramblers	2019	_Gamemaker
Gunkid 99	2019	_Gamemaker
DANMAKAI: Red Forbidden Fruit	2020	_Gamemaker
Let Them Come	2017	_Gamemaker
Sokpop S09: pyramida	2020	_Gamemaker
Karate Cat	2019	_Gamemaker
The Cyclist: Tactics	2021	_Gamemaker
Stand 'em Up	2021	_Gamemaker
Gun Witch	2020	_Gamemaker
Straimium Immortaly	2016	_Gamemaker
Blazing Beaks	2019	_Gamemaker
Witchinour	2017	_Gamemaker
Socialism Simulator	2021	_Gamemaker
Legend of Himari	2018	_Gamemaker
OUTTA GAS	2020	_Gamemaker
Break The Targets	2018	_Gamemaker
Cinders	2014	_Gamemaker
Clockwork Calamity in Mushroom World: What would you do if the time stopped ticking?	2021	_Gamemaker
Colors! Maze	2021	_Gamemaker
Bankrupt Heroines	2020	_Gamemaker
vApe Escape	2019	_Gamemaker
Dead	2018	_Gamemaker
Knight Club +	2020	_Gamemaker
Tormentor❌Punisher	2017	_Gamemaker
Fuhrer in LA - Special Edition	2020	_Gamemaker
SOK PRO	2020	_Gamemaker
BLACKHOLE	2015	_Gamemaker
12 is Better Than 6	2015	_Gamemaker
GhostGame	2019	_Gamemaker
The Eternal Castle [REMASTERED]	2019	_Gamemaker
Gunlock	2017	_Gamemaker
The Quarter Game	2017	_Gamemaker
SpritePile	2019	_Gamemaker
Phucker in the Woods	2019	_Gamemaker
Golf Club Wasteland	2021	_Gamemaker
Shine Within	2021	_Gamemaker
Colt Canyon	2020	_Gamemaker
Ticket	2017	_Gamemaker
Hiiro	2016	_Gamemaker
Viviette	2018	_Gamemaker
IIslands of War	2020	_Gamemaker
1 Screen Platformer	2019	_Gamemaker
Handsome Mr. Frog	2016	_Gamemaker
Invasher	2019	_Gamemaker
Infini	2020	_Gamemaker
Head AS Code	2021	_Gamemaker
Mystik Belle	2015	_Gamemaker
TTV2	2017	_Gamemaker
Astral Gunners	2020	_Gamemaker
Project:Pong	2020	_Gamemaker
BOX: Space Station	2021	_Gamemaker
UBERMOSH Vol.3	2016	_Gamemaker
Haque	2017	_Gamemaker
Within the blade	2019	_Gamemaker
Super XYX	2020	_Gamemaker
Coin Crypt	2014	_Gamemaker
Dingletopia: Nation Under Siege (by Orcs)	2020	_Gamemaker
Amaranthine	2016	_Gamemaker
E.Z	2018	_Gamemaker
Rock 'N' Roll Defense	2016	_Gamemaker
Sokpop S10: Pocket Watch	2021	_Gamemaker
Oh Jeez, Oh No, My Rabbits Are Gone!	2019	_Gamemaker
Space Mayhem	2019	_Gamemaker
Crowtel Renovations	2017	_Gamemaker
Touhou Ibunseki - Ayaria Dawn: ReCreation	2019	_Gamemaker
Valdis Story: Abyssal City	2013	_Gamemaker
Energy Shock	2019	_Gamemaker
Jump Off The Bridge	2019	_Gamemaker
Type Knight	2019	_Gamemaker
NOMAD	2020	_Gamemaker
Space Gladiators: The Hole	2020	_Gamemaker
Watermelon Blocks	2021	_Gamemaker
GUN GODZ	2019	_Gamemaker
长安夜明	2021	_Gamemaker
RITE	2020	_Gamemaker
Viktor, a Steampunk Adventure	2017	_Gamemaker
Everybody Wham Wham	2021	_Gamemaker
The Corruption Within	2021	_Gamemaker
WAVESHAPER	2017	_Gamemaker
Planes, Bullets and Vodka	2016	_Gamemaker
Razortron 2000	2016	_Gamemaker
Fae Tactics	2020	_Gamemaker
Squishy the Suicidal Pig	2014	_Gamemaker
SmartyTale 2D	2019	_Gamemaker
Syntherapy	2020	_Gamemaker
Kiki & Ana - The Child	2021	_Gamemaker
Magic of Autumn	2020	_Gamemaker
BigChick	2021	_Gamemaker
Super Glitter Rush	2021	_Gamemaker
Azure	2020	_Gamemaker
Estigma [Steam Edition]	2020	_Gamemaker
I dream of you and ice cream	2020	_Gamemaker
FIREWORK	2018	_Gamemaker
Applewood	2019	_Gamemaker
10 Second Ninja	2014	_Gamemaker
Spooky Station	2019	_Gamemaker
Dumpy & Bumpy	2021	_Gamemaker
PyroMind	2019	_Gamemaker
RetroMania Wrestling	2021	_Gamemaker
Tower Fortress	2017	_Gamemaker
Psebay	2017	_Gamemaker
Deranged Rabbits	2016	_Gamemaker
Overcrowd: A Commute 'Em Up	2020	_Gamemaker
Wonder Wickets	2018	_Gamemaker
Rogue Stache	2019	_Gamemaker
Crawlco Block Knockers	2019	_Gamemaker
Prime Mover	2018	_Gamemaker
Wequer	2019	_Gamemaker
Super Skelemania	2017	_Gamemaker
Sword of the Necromancer - Prologue	2020	_Gamemaker
Zeroptian Invasion	2018	_Gamemaker
Soko Loco Deluxe	2019	_Gamemaker
Blackout Z: Slaughterhouse Edition	2017	_Gamemaker
Power of Ten	2021	_Gamemaker
Misadventures of Laura Silver	2019	_Gamemaker
Into the Fray	2018	_Gamemaker
Riptale	2017	_Gamemaker
Cursed Castilla (Maldita Castilla EX)	2016	_Gamemaker
Trip to Vinelands	2016	_Gamemaker
Existensis	2021	_Gamemaker
Wings Of Bluestar	2020	_Gamemaker
Defenders of Ekron	2017	_Gamemaker
Upaon: A Snake's Journey	2021	_Gamemaker
Cubrick	2017	_Gamemaker
Brother Brother	2019	_Gamemaker
Colour Box	2018	_Gamemaker
Void Invaders	2015	_Gamemaker
Rec Center Tycoon	2019	_Gamemaker
The Ice Caves	2020	_Gamemaker
Beard Blade	2021	_Gamemaker
Devil Engine	2019	_Gamemaker
Immortal Defense	2015	_Gamemaker
Bob Help Them	2020	_Gamemaker
Dragon Creek	2021	_Gamemaker
Caveblazers Together	2019	_Gamemaker
Wild Glory	2018	_Gamemaker
REDO!	2019	_Gamemaker
Missile Cards	2017	_Gamemaker
Star Rogue	2016	_Gamemaker
Void Breach	2020	_Gamemaker
Hexagon puzzle	2021	_Gamemaker
Hollow Island	2020	_Gamemaker
Red Ronin	2021	_Gamemaker
The StoryTale	2019	_Gamemaker
Pixel Puzzles 2: Space	2016	_Gamemaker
Particle Wars	2019	_Gamemaker
Headbangers in Holiday Hell	2020	_Gamemaker
God of the Arena Dungeon	2021	_Gamemaker
Totemlands	2021	_Gamemaker
TetraLogical	2019	_Gamemaker
Siralim	2015	_Gamemaker
Skautfold: Moonless Knight	2020	_Gamemaker
The Underground Watcher	2019	_Gamemaker
Lufulus' Creatures	2020	_Gamemaker
Ministry of Broadcast	2020	_Gamemaker
Indie Pogo	2018	_Gamemaker
SAVAGE: The Shard of Gosen	2019	_Gamemaker
My Name is Mayo	2016	_Gamemaker
Radium 2	2017	_Gamemaker
RaidTitans	2020	_Gamemaker
Gebub's Adventure	2016	_Gamemaker
WHO IS AWESOME	2020	_Gamemaker
The Magister	2021	_Gamemaker
Custodian: Beginning of the End	2021	_Gamemaker
The ER: Patient Typhon	2021	_Gamemaker
HUH?: and the Adventures of something	2020	_Gamemaker
Boxman's Struggle	2020	_Gamemaker
The Revolt: Awakening	2021	_Gamemaker
Super Hiking League	2020	_Gamemaker
Beyond a Total Loss	2019	_Gamemaker
Frog Hop	2017	_Gamemaker
Things That Bounce and Explode	2021	_Gamemaker
Phucker in the Ashes	2021	_Gamemaker
Speedgunner Ultra	2020	_Gamemaker
UBERMOSH:WRAITH	2017	_Gamemaker
High Strategy: Urukon	2020	_Gamemaker
keyg	2018	_Gamemaker
Sokpop S01: dino game	2020	_Gamemaker
Pixelarium	2019	_Gamemaker
Pulstario	2019	_Gamemaker
Invisibox	2017	_Gamemaker
A House of Many Doors	2017	_Gamemaker
Shiro	2020	_Gamemaker
Adventures of the Worm	2017	_Gamemaker
WaveLand	2017	_Gamemaker
SPACE / MECH / PILOT	2020	_Gamemaker
Skautfold: Shrouded in Sanity	2016	_Gamemaker
The Textorcist: The Story of Ray Bibbia	2019	_Gamemaker
Demetrios - The BIG Cynical Adventure	2016	_Gamemaker
Goblin and Coins	2016	_Gamemaker
Dinogotchi	2021	_Gamemaker
Circuit Dude	2017	_Gamemaker
Mummy Sandbox	2021	_Gamemaker
ScribbleDude	2020	_Gamemaker
Guts 'N Goals	2021	_Gamemaker
Heliopedia	2021	_Gamemaker
Pillars of Dust	2020	_Gamemaker
Stealthscape	2020	_Gamemaker
Super Cucho	2019	_Gamemaker
Gemini	2020	_Gamemaker
The Treehouse Man	2019	_Gamemaker
Cyberhunt	2017	_Gamemaker
Your Adventure	2021	_Gamemaker
Escape the Underground	2021	_Gamemaker
ZeroZone2020	2019	_Gamemaker
illumine	2016	_Gamemaker
Entangle	2017	_Gamemaker
Scribble Ships	2017	_Gamemaker
Dreamer	2021	_Gamemaker
Holt	2021	_Gamemaker
The Sun and Moon	2014	_Gamemaker
1 Screen Platformer: Prologue	2020	_Gamemaker
Village Monsters	2019	_Gamemaker
Puzzgun	2018	_Gamemaker
Eternal Dungeon	2020	_Gamemaker
Briefcase Inc.	2020	_Gamemaker
Critadel	2021	_Gamemaker
UBERMOSH:BLACK	2016	_Gamemaker
10 Second Ninja X	2016	_Gamemaker
Evil Tonight	2021	_Gamemaker
TUNNEL DIVERS	2018	_Gamemaker
You Died but a Necromancer revived you	2019	_Gamemaker
XEYYEX	2019	_Gamemaker
DemonCrawl	2019	_Gamemaker
UBERMOSH Vol.7	2019	_Gamemaker
TitTok	2021	_Gamemaker
Super Galaxy Squadron EX Turbo	2015	_Gamemaker
The Final Boss	2019	_Gamemaker
Mekabolt	2019	_Gamemaker
Gloom	2017	_Gamemaker
Grim Clicker	2020	_Gamemaker
Moonrise Fall	2019	_Gamemaker
Spooky Chase	2020	_Gamemaker
Punchline!!	2019	_Gamemaker
Lines	2017	_Gamemaker
Pixel Puzzles Illustrations & Anime	2021	_Gamemaker
Gal-X-E	2016	_Gamemaker
View From Below	2020	_Gamemaker
Axe Girl	2020	_Gamemaker
ReX	2018	_Gamemaker
HellCat	2018	_Gamemaker
Fighties	2015	_Gamemaker
DRAW CHILLY	2019	_Gamemaker
Сreeps Сreeps? Creeps!	2020	_Gamemaker
Night of the Blood Moon	2019	_Gamemaker
Frantic Dimension	2018	_Gamemaker
Fap Queen 2	2019	_Gamemaker
Crazy Appliances	2018	_Gamemaker
The Mole Men	2021	_Gamemaker
GB Rober	2021	_Gamemaker
BLASK	2019	_Gamemaker
DASH: Danger Action Speed Heroes	2019	_Gamemaker
Alien Attack: Pocket Edition	2018	_Gamemaker
Briquid	2018	_Gamemaker
Deathroids	2020	_Gamemaker
Memorise'n'run	2019	_Gamemaker
东方十昊狱 ~ Hella Dazzling Hell!!	2021	_Gamemaker
BlackJack Math	2020	_Gamemaker
Lootbox Lyfe	2020	_Gamemaker
Grizzland	2019	_Gamemaker
Dungeon Color	2021	_Gamemaker
Sokpop S06: bobo robot	2020	_Gamemaker
THE 2048	2017	_Gamemaker
Atelier Tia	2020	_Gamemaker
Flatland: Prologue	2020	_Gamemaker
Hinedere Beat	2018	_Gamemaker
Terrene - An Evidence Of Life Game	2021	_Gamemaker
Midsummer Night	2020	_Gamemaker
Musasabi	2019	_Gamemaker
INK	2015	_Gamemaker
Straima	2015	_Gamemaker
NotCoD™	2016	_Gamemaker
Toroom	2021	_Gamemaker
Trenches of War	2017	_Gamemaker
Flynn: Son of Crimson	2021	_Gamemaker
Bedfellows FRENZY	2017	_Gamemaker
Territory Idle	2019	_Gamemaker
NOISZ	2018	_Gamemaker
Madrobot X	2016	_Gamemaker
Neighborhorde	2017	_Gamemaker
Doll	2019	_Gamemaker
Space Yandere	2021	_Gamemaker
Spark & Sparkle	2020	_Gamemaker
Elephantasy	2020	_Gamemaker
Bedlamball	2018	_Gamemaker
Day of vaccination	2020	_Gamemaker
Anti-Jump-Man	2021	_Gamemaker
Loneliness	2021	_Gamemaker
Sprite Sequence Chapter 1	2021	_Gamemaker
Sokpop S06: fishy	2020	_Gamemaker
Gun Wings	2015	_Gamemaker
Pixel Puzzles Junior	2017	_Gamemaker
Duke of Defense	2019	_Gamemaker
Pixel Puzzles Mosaics	2017	_Gamemaker
FEMINAZI: The Triggering	2017	_Gamemaker
Boot Camp Fitness	2021	_Gamemaker
Risk System	2019	_Gamemaker
Gunpowder on The Teeth: Arcade	2019	_Gamemaker
my fluffy life	2021	_Gamemaker
Death's Gambit: Afterlife	2018	_Gamemaker
Pixel Star	2015	_Gamemaker
ImageStriker	2019	_Gamemaker
TTV3	2019	_Gamemaker
Blasted Road Terror	2018	_Gamemaker
Phucker in the Rome	2019	_Gamemaker
Consternation II	2020	_Gamemaker
HOUSE OF GOD	2020	_Gamemaker
Nidhogg 2	2017	_Gamemaker
Guile & Glory: Firstborn	2021	_Gamemaker
Hero Hours Contract	2020	_Gamemaker
Super Psy Penguin	2020	_Gamemaker
Hell Blasters	2021	_Gamemaker
Hell's Gate - Slide Puzzle	2021	_Gamemaker
Rocket Ghost Aidan 2		_Gamemaker
[it's possible] Classic	2018	_Gamemaker
Wildfire	2020	_Gamemaker
The Gun Knight	2019	_Gamemaker
Butterfly	2019	_Gamemaker
The Colorful Creature	2021	_Gamemaker
Honey, I Joined a Cult	2021	_Gamemaker
Rev	2020	_Gamemaker
The Dream of Shadowlands	2020	_Gamemaker
Demon Slayer Akagi	2021	_Gamemaker
Hentai Waifu	2019	_Gamemaker
FLATLAND Vol.1	2019	_Gamemaker
Sea Salt	2019	_Gamemaker
Street karate 3	2021	_Gamemaker
Pizza Express	2015	_Gamemaker
Steel Rain	2015	_Gamemaker
PixageFX	2021	_Gamemaker
STAB STAB STAB!	2019	_Gamemaker
Kite	2018	_Gamemaker
Vertical Drop Heroes HD	2014	_Gamemaker
Omni Link	2018	_Gamemaker
Soft Body	2016	_Gamemaker
Sokpop S09: King Pins	2020	_Gamemaker
Darkness Under My Bed	2021	_Gamemaker
Dreadborne Drifters	2019	_Gamemaker
Plaguepunk Justice	2019	_Gamemaker
Drifting Cloud	2018	_Gamemaker
Halloween Arkanoid 2	2018	_Gamemaker
Buddinpals - Take One Home With You !!	2018	_Gamemaker
Fake Illusions	2020	_Gamemaker
Hope; or How We Survived	2019	_Gamemaker
Azurebreak Heroes	2020	_Gamemaker
Raven's Hike	2021	_Gamemaker
The Manse on Soracca	2020	_Gamemaker
Krystal the Adventurer	2018	_Gamemaker
The Adventures of Clive McMulligan on Planet Zeta Four	2018	_Gamemaker
Kill Fish	2021	_Gamemaker
TRF - The Race Factory	2020	_Gamemaker
ASSAULT SHELL	2021	_Gamemaker
Tamiku	2020	_Gamemaker
Wintercearig	2019	_Gamemaker
Without my arms	2020	_Gamemaker
Dungeon Explorer	2021	_Gamemaker
Kings Of Wings	2019	_Gamemaker
Temple of Rust	2018	_Gamemaker
Run Dude	2020	_Gamemaker
miniLAW: Ministry of Law	2020	_Gamemaker
Polygoneer	2017	_Gamemaker
M.E.A.T.	2021	_Gamemaker
BOOR	2017	_Gamemaker
Steel Alcimus	2018	_Gamemaker
Super Star Path	2015	_Gamemaker
Double	2019	_Gamemaker
Disjunction	2021	_Gamemaker
Huusuienbu - Chapter Spring and Summer	2019	_Gamemaker
Birth ME Code	2020	_Gamemaker
Serin Fate	2021	_Gamemaker
Monster Slayers	2017	_Gamemaker
Writers	2017	_Gamemaker
Bamboo EP	2016	_Gamemaker
Raifu Wars	2020	_Gamemaker
Uagi-Saba	2018	_Gamemaker
Splinter Zone	2017	_Gamemaker
Antisnake	2021	_Gamemaker
Puzzle Party	2020	_Gamemaker
Null Drifter	2019	_Gamemaker
SwordBounce	2018	_Gamemaker
Sokpop S05: sok-stories	2020	_Gamemaker
Gekraxel	2019	_Gamemaker
Sokpop S04: Featherfall	2020	_Gamemaker
Pixel Gladiator	2017	_Gamemaker
FadeZone	2020	_Gamemaker
Broken Armor	2016	_Gamemaker
Merlin adventurer store	2016	_Gamemaker
Neon City Riders	2020	_Gamemaker
Earth Overclocked	2015	_Gamemaker
The Story Goes On	2018	_Gamemaker
Wanderer of Teandria	2017	_Gamemaker
There Will Be Ink	2019	_Gamemaker
Binky's Trash Service	2021	_Gamemaker
KIRO	2020	_Gamemaker
Birdcakes	2018	_Gamemaker
Vacuum Pilot	2021	_Gamemaker
In Search of Fon Vitae	2021	_Gamemaker
ZYX STORY	2018	_Gamemaker
Button Soccer League	2020	_Gamemaker
FOS	2020	_Gamemaker
Unworthy	2018	_Gamemaker
Magic Potion Millionaire	2020	_Gamemaker
